weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
0,0.66,0.04,0.05,0.38,0.62,0.449
1,0.66,0.02,0.05,0.41,0.64,0.458
2,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
3,0.66,0.04,0.05,0.38,0.62,0.449
4,0.66,0.09,0.06,0.39,0.65,0.461
5,0.66,0.04,0.05,0.38,0.62,0.449
6,0.66,0.04,0.05,0.38,0.62,0.449
7,0.72,0.1,0.06,0.4,0.64,0.488
8,0.62,0.09,0.06,0.4,0.65,0.448
9,0.69,0.04,0.05,0.38,0.62,0.46099999999999997
10,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
11,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
12,0.72,0.1,0.06,0.4,0.64,0.488
13,0.62,0.05,0.05,0.41,0.64,0.445
14,0.62,0.09,0.06,0.4,0.65,0.448
15,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
16,0.62,0.09,0.06,0.4,0.65,0.448
17,0.62,0.05,0.05,0.41,0.64,0.445
18,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
19,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
20,0.59,0.06,0.05,0.4,0.65,0.432
21,0.66,0.04,0.05,0.38,0.62,0.449
22,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
23,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
24,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
25,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
26,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
27,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
28,0.66,0.04,0.05,0.37,0.62,0.446
29,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
30,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
31,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
32,0.62,0.05,0.05,0.4,0.64,0.442
33,0.66,0.04,0.05,0.38,0.62,0.449
34,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
35,0.62,0.05,0.05,0.4,0.64,0.442
36,0.62,0.08,0.06,0.4,0.65,0.447
37,0.62,0.05,0.05,0.4,0.64,0.442
38,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
39,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
40,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
41,0.66,0.04,0.05,0.37,0.62,0.446
42,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
43,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
44,0.66,0.04,0.05,0.37,0.62,0.446
45,0.69,0.14,0.06,0.39,0.64,0.477
46,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
47,0.69,0.14,0.06,0.39,0.64,0.477
48,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
49,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
50,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
51,0.62,0.06,0.05,0.4,0.64,0.443
52,0.69,0.13,0.06,0.39,0.64,0.476
53,0.69,0.14,0.06,0.39,0.64,0.477
54,0.69,0.14,0.06,0.39,0.64,0.477
55,0.69,0.14,0.06,0.39,0.64,0.477
56,0.66,0.04,0.05,0.38,0.62,0.449
57,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
58,0.66,0.04,0.05,0.37,0.62,0.446
59,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
60,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
61,0.69,0.13,0.06,0.39,0.64,0.476
62,0.66,0.04,0.05,0.38,0.62,0.449
